key,value,category,audience
amenity,smoking_area,other,mixed
amenity,hunting_stand,other,mixed
amenity,bbq,other,mixed
shop,supermarket,food_daily,everyday
shop,convenience,food_daily,everyday
shop,bakery,food_daily,everyday
shop,butcher,food_daily,everyday
shop,greengrocer,food_daily,everyday
shop,beverages,food_daily,everyday
shop,farm,food_daily,everyday
shop,dairy,food_daily,everyday
shop,deli,food_specialty,mixed
shop,cheese,food_specialty,mixed
shop,chocolate,food_specialty,tourist
shop,confectionery,food_specialty,mixed
shop,pastry,food_specialty,mixed
shop,wine,food_specialty,mixed
shop,alcohol,food_specialty,mixed
shop,coffee,food_specialty,mixed
shop,tea,food_specialty,mixed
shop,seafood,food_specialty,mixed
shop,health_food,food_specialty,everyday
shop,spices,food_specialty,mixed
shop,gift,tourist_retail,tourist
shop,souvenir,tourist_retail,tourist
shop,jewelry,tourist_retail,tourist
shop,art,tourist_retail,tourist
shop,antiques,tourist_retail,tourist
shop,watches,tourist_retail,tourist
shop,craft,tourist_retail,mixed
shop,clothes,retail_other,mixed
shop,shoes,retail_other,mixed
shop,bag,retail_other,mixed
shop,boutique,retail_other,tourist
shop,fashion_accessories,retail_other,mixed
shop,perfumery,retail_other,mixed
shop,books,retail_other,mixed
shop,newsagent,retail_other,everyday
shop,kiosk,retail_other,mixed
shop,stationery,retail_other,everyday
shop,florist,retail_other,everyday
shop,hardware,retail_other,everyday
shop,doityourself,retail_other,everyday
shop,electronics,retail_other,everyday
shop,mobile_phone,retail_other,everyday
shop,computer,retail_other,everyday
shop,furniture,retail_other,everyday
shop,houseware,retail_other,everyday
shop,interior_decoration,retail_other,everyday
shop,toys,retail_other,everyday
shop,sports,retail_other,everyday
shop,bicycle,retail_other,everyday
shop,car,retail_other,everyday
shop,car_parts,retail_other,everyday
shop,pet,retail_other,everyday
shop,garden_centre,retail_other,everyday
shop,music,retail_other,mixed
shop,musical_instrument,retail_other,mixed
shop,chemist,retail_other,everyday
shop,charity,retail_other,everyday
shop,second_hand,retail_other,everyday
shop,variety_store,retail_other,everyday
shop,department_store,retail_other,mixed
shop,mall,retail_other,mixed
shop,tobacco,retail_other,mixed
shop,e-cigarette,retail_other,mixed
shop,erotic,retail_other,tourist
shop,optician,health,everyday
shop,medical_supply,health,everyday
shop,hairdresser,personal_services,everyday
shop,beauty,personal_services,everyday
shop,massage,personal_services,mixed
shop,tattoo,personal_services,tourist
shop,laundry,personal_services,everyday
shop,dry_cleaning,personal_services,everyday
shop,tailor,personal_services,everyday
shop,shoe_repair,personal_services,everyday
shop,locksmith,personal_services,everyday
shop,copyshop,personal_services,everyday
shop,photo,personal_services,mixed
shop,funeral_directors,personal_services,everyday
shop,car_repair,personal_services,everyday
shop,travel_agency,personal_services,tourist
shop,pawnbroker,finance,mixed
shop,money_lender,finance,mixed
shop,lottery,other,mixed
shop,vacant,other,unknown
tourism,hotel,accommodation,tourist
tourism,hostel,accommodation,tourist
tourism,guest_house,accommodation,tourist
tourism,motel,accommodation,tourist
tourism,camp_site,accommodation,tourist
tourism,caravan_site,accommodation,tourist
tourism,apartment,short_term_rental,tourist
tourism,chalet,short_term_rental,tourist
tourism,attraction,culture,tourist
tourism,museum,culture,tourist
tourism,gallery,culture,tourist
tourism,artwork,culture,tourist
tourism,information,culture,tourist
tourism,viewpoint,culture,tourist
tourism,theme_park,culture,tourist
tourism,zoo,culture,tourist
tourism,aquarium,culture,tourist
tourism,picnic_site,other,mixed
leisure,fitness_centre,sport,everyday
leisure,playground,sport,everyday
leisure,sports_centre,sport,everyday
leisure,pitch,sport,everyday
leisure,swimming_pool,sport,everyday
leisure,fitness_station,sport,everyday
leisure,track,sport,everyday
leisure,sports_hall,sport,everyday
leisure,horse_riding,sport,mixed
leisure,bowling_alley,sport,mixed
leisure,dance,sport,mixed
leisure,sauna,sport,mixed
leisure,park,sport,mixed
leisure,garden,sport,mixed
leisure,marina,sport,tourist
leisure,escape_game,culture,tourist
leisure,adult_gaming_centre,culture,mixed
leisure,amusement_arcade,culture,mixed
leisure,nature_reserve,other,mixed
leisure,common,other,mixed
leisure,slipway,other,mixed
leisure,outdoor_seating,other,mixed
office,diplomatic,diplomatic,tourist
office,government,public_admin,everyday
office,lawyer,office,everyday
office,notary,office,everyday
office,estate_agent,office,everyday
office,insurance,office,everyday
office,accountant,office,everyday
office,tax_advisor,office,everyday
office,employment_agency,office,everyday
office,financial,finance,everyday
office,educational_institution,education,everyday
office,physician,health,everyday
office,travel_agent,personal_services,tourist
office,company,office,mixed
office,it,office,mixed
office,ngo,office,mixed
office,association,office,mixed
office,architect,office,mixed
office,advertising_agency,office,mixed
office,coworking,office,mixed
office,research,office,mixed
office,political_party,office,mixed
office,newspaper,office,mixed
office,telecommunication,office,mixed
office,energy_supplier,office,mixed
office,charity,office,mixed
office,foundation,office,mixed
healthcare,doctor,health,everyday
healthcare,dentist,health,everyday
healthcare,pharmacy,health,everyday
healthcare,physiotherapist,health,everyday
healthcare,psychotherapist,health,everyday
healthcare,alternative,health,everyday
healthcare,laboratory,health,everyday
healthcare,hospital,health,everyday
healthcare,clinic,health,everyday
healthcare,centre,health,everyday
healthcare,nurse,health,everyday
healthcare,optometrist,health,everyday
healthcare,podiatrist,health,everyday
healthcare,speech_therapist,health,everyday
healthcare,blood_donation,health,everyday
healthcare,midwife,health,everyday
healthcare,rehabilitation,health,everyday
healthcare,occupational_therapist,health,everyday
healthcare,counselling,health,everyday
healthcare,sample_collection,health,everyday
craft,carpenter,personal_services,everyday
craft,electrician,personal_services,everyday
craft,plumber,personal_services,everyday
craft,painter,personal_services,everyday
craft,shoemaker,personal_services,everyday
craft,tailor,personal_services,everyday
craft,photographer,personal_services,mixed
craft,jeweller,tourist_retail,tourist
craft,goldsmith,tourist_retail,tourist
craft,glaziery,personal_services,everyday
craft,roofer,personal_services,everyday
craft,key_cutter,personal_services,everyday
craft,upholsterer,personal_services,everyday
craft,gardener,personal_services,everyday
craft,blacksmith,personal_services,mixed
craft,brewery,food_specialty,mixed
craft,winery,food_specialty,mixed
craft,bakery,food_daily,everyday
craft,confectionery,food_specialty,mixed
craft,locksmith,personal_services,everyday
craft,sculptor,tourist_retail,tourist
craft,pottery,tourist_retail,tourist
